true_category,predicted_category,count,true_class_support,error_rate
Web,Collaborative,3515,110690,0.03175535278706297
Web,Chat,784,110690,0.007082843978679194
Web,Cloud,595,110690,0.00537537266239046
Network,VoIP,530,84447,0.006276125854085995
Unspecified,Email,457,5680,0.08045774647887324
Collaborative,Web,262,6632,0.03950542822677925
Collaborative,Network,148,6632,0.022316043425814235
Unspecified,Database,127,5680,0.022359154929577466
Web,SocialNetwork,97,110690,0.0008763212575661759
Network,System,71,84447,0.0008407640295096333
Web,Download,69,110690,0.0006233625440419189
Web,VoIP,68,110690,0.0006143283042731954
Web,Unspecified,57,110690,0.0005149516668172373
Web,ConnCheck,55,110690,0.0004968831872797904
Web,SoftwareUpdate,45,110690,0.0004065407895925558
Network,Web,38,84447,0.0004499863819910713
Chat,Web,26,3985,0.006524466750313676
Web,Email,20,110690,0.00018068479537446924
Web,Network,19,110690,0.0001716505556057458
Download,Web,17,651,0.026113671274961597
Network,Database,14,84447,0.0001657844565230263
SoftwareUpdate,Download,14,737,0.018995929443690638
Collaborative,VoIP,13,6632,0.0019601930036188178
Collaborative,Cloud,10,6632,0.0015078407720144752
Network,Chat,10,84447,0.00011841746894501876
Network,Collaborative,9,84447,0.00010657572205051689
Network,Unspecified,9,84447,0.00010657572205051689
Chat,SocialNetwork,8,3985,0.0020075282308657464
VoIP,Network,8,1569,0.005098789037603569
Cloud,Collaborative,6,5778,0.0010384215991692627
Unspecified,Chat,6,5680,0.001056338028169014
VoIP,System,6,1569,0.0038240917782026767
Cloud,Web,5,5778,0.0008653513326410523
Unspecified,Web,5,5680,0.0008802816901408451
SocialNetwork,Chat,4,3883,0.0010301313417460727
Unspecified,Network,4,5680,0.0007042253521126761
Chat,Network,3,3985,0.000752823086574655
Database,Email,3,327,0.009174311926605505
Download,Chat,3,651,0.004608294930875576
Network,Cloud,3,84447,3.552524068350563e-05
Network,Download,3,84447,3.552524068350563e-05
SocialNetwork,Web,3,3883,0.0007725985063095545
SoftwareUpdate,Web,3,737,0.004070556309362279
Web,System,3,110690,2.7102719306170385e-05
Chat,Download,2,3985,0.0005018820577164366
Collaborative,Chat,2,6632,0.00030156815440289503
Database,Unspecified,2,327,0.0061162079510703364
Download,Cloud,2,651,0.0030721966205837174
Email,Chat,2,391,0.005115089514066497
Email,Database,2,391,0.005115089514066497
Web,Database,2,110690,1.8068479537446922e-05
Chat,Database,1,3985,0.0002509410288582183
Chat,SoftwareUpdate,1,3985,0.0002509410288582183
Chat,VoIP,1,3985,0.0002509410288582183
Cloud,SoftwareUpdate,1,5778,0.00017307026652821047
Cloud,VoIP,1,5778,0.00017307026652821047
ConnCheck,Chat,1,281,0.0035587188612099642
Download,ConnCheck,1,651,0.0015360983102918587
Download,SocialNetwork,1,651,0.0015360983102918587
Download,SoftwareUpdate,1,651,0.0015360983102918587
Download,Unspecified,1,651,0.0015360983102918587
Network,Email,1,84447,1.1841746894501878e-05
Network,SoftwareUpdate,1,84447,1.1841746894501878e-05
SocialNetwork,Cloud,1,3883,0.0002575328354365182
SocialNetwork,VoIP,1,3883,0.0002575328354365182
System,Network,1,1230,0.0008130081300813008
VoIP,Database,1,1569,0.0006373486297004461
VoIP,Unspecified,1,1569,0.0006373486297004461
